example,label,explanation
Will declined funds I tried to withdraw be returned to me?,wrong_amount_of_cash_received,"The output is ""wrong_amount_of_cash_received"" because the customer's complaint is about not receiving the funds they tried to withdraw. This indicates that there was an issue with the cash withdrawal process, specifically with the amount of cash received. The customer expected to receive a certain amount of cash, but they received a different amount or no cash at all. This is different from other categories such as ""cash_withdrawal_not_recognised"" where the customer may not recognize a transaction on their account statement. In this case, the customer is aware that they did not receive the correct amount of cash. So, the answer is wrong_amount_of_cash_received."
I've been unable to pay contactless with my card for over a week now. Is there a way to fix this issue?,contactless_not_working,"The output is correct because the customer's complaint is related to the issue of being unable to pay contactless with their card. This falls under the category of ""contactless_not_working"" as mentioned in the task description. The customer specifically mentions that they have been unable to pay contactless with their card for over a week, indicating a persistent problem. So, the answer is contactless_not_working."
In exchange for top ups will you take fees?,top_up_by_card_charge,"The output is correct because the customer's query is related to fees associated with top-ups. Specifically, the customer is asking if fees are charged in exchange for top-ups. This falls under the category of ""top_up_by_card_charge"" as it pertains to charges or fees associated with topping up the account using a card. So, the answer is top_up_by_card_charge."
Why does the top-up need verification?,verify_top_up,"The input question is asking about the reason for verification required for a top-up. This falls under the category of ""verify_top_up"" because the customer is inquiring about the verification process specifically related to top-ups. The category ""verify_top_up"" is relevant to situations where customers need to verify their identity or the source of funds when performing a top-up transaction. So, the answer is verify_top_up."
Why wasn't I able to transfer to another account?,beneficiary_not_allowed,"The output is correct because the input example mentions the inability to transfer to another account. This suggests that the customer is facing an issue with transferring funds to a different account. The category ""beneficiary_not_allowed"" specifically addresses situations where customers are unable to transfer funds to a particular beneficiary or account. Therefore, based on the input example, the correct category for this query is ""beneficiary_not_allowed"". So, the answer is beneficiary_not_allowed."
I had a payment that I made and it's been some amount of time and would like to know when it's suppose to go though.,pending_card_payment,"The output is correct because the customer's query indicates that they made a payment but it has not been processed yet. They are seeking information about when the payment is supposed to go through. This aligns with the category ""pending_card_payment"" which refers to situations where a card payment is still in the process of being authorized or processed. So, the answer is pending_card_payment."
How long should my new card take to arrive?,card_arrival,"The output is correct because the input example is asking about the expected time for a new card to arrive. This falls under the category of ""card_arrival"" as it pertains to the process and timeline of receiving a new card. So, the answer is card_arrival."
I bought something in a foreign currency but the rate applied is wrong!,card_payment_wrong_exchange_rate,"The input example mentions a situation where the rate applied for a purchase in a foreign currency is incorrect. This falls under the category of ""card_payment_wrong_exchange_rate"" because it specifically relates to an issue with the exchange rate used for a card payment. The customer is complaining about the wrong rate being applied, indicating that the problem is related to the exchange rate for the card payment. So, the answer is card_payment_wrong_exchange_rate."
I cannot seem to find my PIN. Where is it?,get_physical_card,"The output ""get_physical_card"" is correct for the given input. 

In the input, the customer is expressing their inability to find their PIN. This indicates that they are looking for assistance with their physical card, specifically regarding their PIN. The category ""get_physical_card"" refers to situations where customers need help with obtaining or retrieving their physical card, which includes issues related to PINs. 

Therefore, based on the customer's query, the correct category is ""get_physical_card"". 

So, the answer is get_physical_card."
I have a cryptocurrency exchange that won't go through. Please help me process it.,beneficiary_not_allowed,"The output is correct because the customer's complaint is related to a cryptocurrency exchange that won't go through. This falls under the category of ""beneficiary_not_allowed"" because it suggests that the customer is trying to transfer funds to a beneficiary that is not allowed or supported by the bank. So, the answer is beneficiary_not_allowed."
"I would like to receive and use the card in Europe, is that possible?",country_support,"The output is correct because the customer's query is related to the support for using the card in a specific country, which falls under the category of ""country_support"". The customer is specifically asking if it is possible to receive and use the card in Europe, indicating their concern about whether the bank supports card usage in that region. So, the answer is country_support."
I just purchased a disposable virtual card. Am I able to use it for online purchases immediately?,get_disposable_virtual_card,"The input mentions the purchase of a disposable virtual card and asks if it can be used for online purchases immediately. This query falls under the category of ""get_disposable_virtual_card"" because the customer is inquiring about the usability of the card they just purchased. The customer wants to know if they can use the card for online purchases right away. So, the answer is ""get_disposable_virtual_card""."
"My PIN is blocked, what do I do?",pin_blocked,"The input example mentions that the PIN is blocked and asks for guidance on what to do. This indicates that the customer is facing an issue with their PIN being blocked. The category ""pin_blocked"" specifically addresses situations where customers have issues with their PIN being blocked. Therefore, based on the input example, the correct category for this query is ""pin_blocked"". So, the answer is pin_blocked."
I need to cancel a purchase I made.,request_refund,"The input ""I need to cancel a purchase I made"" indicates that the customer wants to cancel a purchase they have made. This falls under the category of ""request_refund"" because the customer is seeking a refund for their purchase. So, the answer is request_refund."
How do I transfer money using a credit card?,topping_up_by_card,"The output is correct because the input example mentions transferring money using a credit card. This falls under the category of ""topping_up_by_card"" because it involves using a credit card to add funds to an account or make a payment. So, the answer is topping_up_by_card."
"Could you please check one of my transfer which i made few hours ago from my UK bank account, as its not showing yet.",balance_not_updated_after_bank_transfer,"The output is correct because the customer's complaint is related to a bank transfer not being reflected in their account balance. The customer specifically mentions that they made a transfer from their UK bank account a few hours ago, but it is not showing up. This aligns with the category ""balance_not_updated_after_bank_transfer"" as it pertains to issues where the balance is not updated after a bank transfer. So, the answer is balance_not_updated_after_bank_transfer."
why do your exchange rates change,exchange_rate,"The input example ""why do your exchange rates change"" is classified as ""exchange_rate"" because it is asking about the reason behind the fluctuation or variation in the exchange rates provided by the bank. The question specifically mentions ""exchange rates change,"" indicating a query related to the bank's exchange rate policies or practices. Therefore, the input falls under the category of ""exchange_rate.""

So, the answer is exchange_rate."
What do you need to verify my identity?,verify_my_identity,"The input example contains the phrase ""verify my identity,"" which indicates that the customer is seeking information or assistance regarding the verification process for their identity. This falls under the category of ""verify_my_identity"" as stated in the task description. So, the answer is verify_my_identity."
How long will it take for my ID to verify?,unable_to_verify_identity,"The input query ""How long will it take for my ID to verify?"" indicates that the customer is inquiring about the time it will take for their ID to be verified. This falls under the category of ""unable_to_verify_identity"" because the customer is expressing a concern or issue related to the verification process of their ID. They are seeking information about the duration of the verification process, suggesting that they are currently unable to verify their identity. So, the answer is ""unable_to_verify_identity""."
Where do I go to change GBP?,exchange_via_app,"The output is correct because the customer's query is related to changing GBP, which suggests a need for currency exchange. The category ""exchange_via_app"" specifically refers to using the bank's app for currency exchange, which aligns with the customer's question about where to go to change GBP. So, the answer is exchange_via_app."
The rate of exchange for my card payment is incorrect,card_payment_wrong_exchange_rate,"The input example states that the rate of exchange for a card payment is incorrect. This falls under the category of ""card_payment_wrong_exchange_rate"" because the customer is experiencing an issue with the exchange rate applied to their card payment. The customer may have expected a different exchange rate or may have been charged an incorrect amount due to an error in the exchange rate calculation. So, the answer is card_payment_wrong_exchange_rate."
Where can I change my personal information after I move?,edit_personal_details,"The output is correct because the customer's query is related to changing personal information after moving. This falls under the category of ""edit_personal_details"" as the customer is seeking information on how to update their personal details. So, the answer is edit_personal_details."
My funding to my card didn't go through.,top_up_failed,"The input example mentions that the funding to the card did not go through. This indicates that there was an issue with the process of adding funds to the card. The category ""top_up_failed"" specifically refers to situations where the attempt to add funds to the card was unsuccessful. Therefore, based on the input example, the output ""top_up_failed"" is correct.

So, the answer is top_up_failed."
WHAT CAN I DO AFTER THE CARD MISSING,activate_my_card,"The input query ""WHAT CAN I DO AFTER THE CARD MISSING"" indicates that the customer's card is missing or lost. This falls under the category of ""lost_or_stolen_card"". The customer is seeking guidance on what actions they should take after their card goes missing. So, the answer is ""lost_or_stolen_card""."
What options do I have in regards to payment?,supported_cards_and_currencies,"The output is correct because the customer's query is related to the options available for payment. The category ""supported_cards_and_currencies"" specifically addresses inquiries about the types of cards and currencies that the bank supports for payment. In this case, the customer is seeking information about their payment options, which falls under this category. So, the answer is supported_cards_and_currencies."
What is the current exchange rate for me?,exchange_rate,"The input is asking for the current exchange rate. This falls under the category of ""exchange_rate"" because the customer is seeking information about the exchange rate. So, the answer is exchange_rate."
How do I deal with a stolen card?,lost_or_stolen_card,"The input example ""How do I deal with a stolen card?"" is classified as ""lost_or_stolen_card"" because the customer is seeking guidance on how to handle a situation where their card has been stolen. This category specifically addresses issues related to lost or stolen cards and provides support and instructions on what steps the customer should take in such situations. So, the answer is ""lost_or_stolen_card""."
"When I tried to pay for my bus ride, the contactless payment wouldn't work. How can I prevent this in the future?",contactless_not_working,"The output is correct because the customer's complaint is related to the contactless payment not working. The customer mentioned that when they tried to pay for their bus ride, the contactless payment wouldn't work. This indicates that there was an issue with the contactless payment method. The customer also expressed a desire to prevent this issue in the future, which further confirms that the complaint falls under the category of ""contactless_not_working"". So, the answer is contactless_not_working."
What should I do if I forgot my passcode?,passcode_forgotten,"The input example ""What should I do if I forgot my passcode?"" indicates that the customer is seeking assistance with a forgotten passcode. This falls under the category of ""passcode_forgotten"" because the customer is specifically asking for guidance on what to do in this situation. The mention of forgetting the passcode aligns with the category name, making it the correct classification for this input. So, the answer is passcode_forgotten."
Am I able to change my PIN at any cash machines?,change_pin,"The input query is asking about the ability to change the PIN at cash machines. This falls under the category of ""change_pin"" because the customer is inquiring about the process of changing their PIN. This category specifically addresses queries related to changing the PIN associated with the customer's bank card. So, the answer is change_pin."
I was looking to buy another card today.,getting_spare_card,"The output is correct because the customer's statement ""I was looking to buy another card today"" indicates that they are interested in obtaining an additional card. This falls under the category of ""getting_spare_card"" as the customer is looking to acquire an extra card. So, the answer is getting_spare_card."
How long does it take for a money transfer to show?,pending_transfer,"The input query ""How long does it take for a money transfer to show?"" is asking about the time it takes for a money transfer to be reflected or shown in the customer's account. This falls under the category of ""pending_transfer"" because the customer is inquiring about the status or progress of a money transfer that has not yet been completed or finalized. The term ""pending"" suggests that the transfer is still in progress and has not been fully processed or reflected in the customer's account. So, the answer is ""pending_transfer""."
"My pins seems to be blocked, can you unblock it please",pin_blocked,"The input example mentions that the user's pin seems to be blocked and they are requesting for it to be unblocked. This indicates that the user is facing an issue with their pin being blocked. This aligns with the category ""pin_blocked"" which refers to situations where the customer's pin is blocked and they need assistance in unblocking it. So, the answer is pin_blocked."
Can I change my information?,edit_personal_details,"The input query ""Can I change my information?"" is asking about the possibility of modifying personal details. This falls under the category of ""edit_personal_details"" because the customer is inquiring about updating their information. So, the answer is ""edit_personal_details""."
why does the app show a direct debit payment that I did not authorize,direct_debit_payment_not_recognised,"The input example mentions a direct debit payment that the customer did not authorize. This indicates that the customer is questioning the presence of a payment made through direct debit without their consent. This aligns with the category ""direct_debit_payment_not_recognised"" as it specifically addresses situations where customers notice unauthorized direct debit payments in their account. Therefore, the output is correct.

So, the answer is direct_debit_payment_not_recognised."
I topped up but the app reverted it,top_up_reverted,"The input example mentions that the user topped up their account, but the app reverted the transaction. This indicates that the user experienced a situation where their top-up was not successful and the transaction was reversed or canceled by the app. This aligns with the category ""top_up_reverted"" which specifically refers to cases where a top-up transaction is reversed or canceled. So, the answer is top_up_reverted."
For how long will my transfer be pending?,pending_transfer,"The output is correct because the customer's query is related to the status of their transfer. They are specifically asking about the duration of the pending status. This falls under the category of ""pending_transfer"" as it pertains to the delay or hold on the completion of a transfer. So, the answer is pending_transfer."
Do I qualify for a visa card?,visa_or_mastercard,"The input ""Do I qualify for a visa card?"" falls under the category of ""visa_or_mastercard"". This is because the customer is inquiring about their eligibility for a visa card, which is a type of credit card. The category ""visa_or_mastercard"" encompasses queries related to the qualification, application process, and general information about visa or mastercard credit cards. So, the answer is visa_or_mastercard."
Will there be additional costs of I make a withdrawal from a local ATM of British pounds? I need some cash to feel comfortable on the journey home,wrong_exchange_rate_for_cash_withdrawal,"The output is ""wrong_exchange_rate_for_cash_withdrawal"" because the customer is asking about the additional costs of making a withdrawal from a local ATM in British pounds. This suggests that the customer is concerned about the exchange rate that will be applied to the withdrawal. If the exchange rate used by the bank is not favorable, the customer may end up receiving less cash than expected, resulting in additional costs. Therefore, the customer's query is related to the issue of the wrong exchange rate for cash withdrawal. So, the answer is wrong_exchange_rate_for_cash_withdrawal."
What's the process for ID verification?,verify_my_identity,"The input mentions the process for ID verification, which is a common concern for bank customers. This falls under the category of ""verify_my_identity"" because the customer is seeking information about the process of verifying their identity. So, the answer is verify_my_identity."
I took out money from a transaction machine and it exchanged the wrong dollar value amount from another currency!,wrong_exchange_rate_for_cash_withdrawal,"The output is correct because the customer's complaint is related to a cash withdrawal from a transaction machine. The customer states that the machine exchanged the wrong dollar value amount from another currency. This indicates that the issue is with the exchange rate used for the cash withdrawal, which falls under the category of ""wrong_exchange_rate_for_cash_withdrawal"". So, the answer is wrong_exchange_rate_for_cash_withdrawal."
What is the transfer fee charge?,transfer_fee_charged,"The input question ""What is the transfer fee charge?"" is asking about the fee charged for transferring money. This falls under the category of ""transfer_fee_charged"" because it specifically mentions a fee associated with a transfer. The category ""transfer_fee_charged"" is relevant to bank customers who want to know the cost of transferring money. So, the answer is transfer_fee_charged."
I would like to not have to do the identity verification.,why_verify_identity,"The input example mentions the desire to avoid the process of identity verification. This indicates that the customer has a query or complaint related to the verification process. The category ""why_verify_identity"" specifically addresses concerns or questions about the need for identity verification. Therefore, the output ""why_verify_identity"" is correct for this input example.

So, the answer is why_verify_identity."
"I completed an in country transfer a few days ago and was sure to check the account information several times since the transaction was completed, but the funds are still not available. What is the problem?",transfer_not_received_by_recipient,"The output is correct because the customer's complaint indicates that they completed an in-country transfer a few days ago and checked the account information multiple times. However, the funds from the transfer are still not available. This aligns with the category ""transfer_not_received_by_recipient"" as the customer is experiencing a delay or issue with the recipient not receiving the transferred funds. So, the answer is transfer_not_received_by_recipient."
What kind of currency can I hold money in?,fiat_currency_support,"The output is correct because the customer's query is related to the types of currency that can be held in their bank account. The category ""fiat_currency_support"" specifically addresses questions or concerns about the supported types of fiat currency that the bank allows customers to hold in their accounts. In this case, the customer is asking about the available currencies, indicating that they are seeking information about the bank's support for different types of currency. So, the answer is fiat_currency_support."
Is their a fee for top ups?,top_up_by_card_charge,"The output is correct because the input question is asking about fees for top-ups. The category ""top_up_by_card_charge"" specifically refers to fees charged for top-ups made using a card. Since the input is asking about fees for top-ups, it falls under this category. So, the answer is top_up_by_card_charge."
How do I report my card stolen?,lost_or_stolen_card,"The input example ""How do I report my card stolen?"" indicates that the customer is seeking information on how to report a stolen card. This falls under the category of ""lost_or_stolen_card"" as the customer is specifically asking about reporting a stolen card. So, the answer is lost_or_stolen_card."
Can you help me get rid of my account?,terminate_account,"The input example ""Can you help me get rid of my account?"" indicates that the customer wants to close or terminate their account. This aligns with the category ""terminate_account"" which refers to customers seeking assistance in closing their bank accounts. So, the answer is terminate_account."
How can I activate my card>,activate_my_card,"The input query ""How can I activate my card?"" is asking for information on how to activate a card. This falls under the category of ""activate_my_card"" as it is a specific query related to the activation process of a card. So, the answer is activate_my_card."
What kind of documents do I need for the identity check?,verify_my_identity,"The input query is asking about the documents required for the identity check. This falls under the category of ""verify_my_identity"" because the customer is seeking information on the process of verifying their identity. This category specifically deals with queries related to the verification of a customer's identity, which may involve providing certain documents or information. So, the answer is verify_my_identity."
Do you have any limit on the auto top-up?,automatic_top_up,"The input question ""Do you have any limit on the auto top-up?"" is asking about the existence of a limit on the automatic top-up feature. This falls under the category of ""automatic_top_up"" because it specifically mentions the auto top-up functionality. The customer is inquiring about any limitations or restrictions associated with this feature. So, the answer is automatic_top_up."
Does my PIN come with my card?,get_physical_card,"The output ""get_physical_card"" is correct for the given input. The customer's query is about whether their PIN comes with their card. This falls under the category of ""get_physical_card"" because the customer is inquiring about the contents or features of the physical card they will receive. They are specifically asking about the inclusion of the PIN with the card. So, the answer is get_physical_card."
Where can I find a virtual card?,getting_virtual_card,"The input query ""Where can I find a virtual card?"" indicates that the customer is looking for information on how to obtain a virtual card. This falls under the category of ""getting_virtual_card"" as the customer is inquiring about the process of acquiring a virtual card. So, the answer is getting_virtual_card."
I checked the exchange rate when I withdrew cash. But the actual rate that you applied was different.,wrong_exchange_rate_for_cash_withdrawal,"The customer's complaint states that they checked the exchange rate before withdrawing cash, but the actual rate applied by the bank was different. This indicates that the customer is experiencing an issue related to the exchange rate for cash withdrawals. Therefore, the correct category for this input example is ""wrong_exchange_rate_for_cash_withdrawal"". So, the answer is wrong_exchange_rate_for_cash_withdrawal."
How do I do a successful transfer to an account?,beneficiary_not_allowed,"The output ""beneficiary_not_allowed"" is correct for the given input example because the customer is asking about how to do a successful transfer to an account. The term ""beneficiary"" refers to the recipient of the transfer. In this case, the customer is specifically asking about transferring to an account, which suggests that they may be encountering an issue where they are not allowed to transfer funds to a particular beneficiary or type of account. This could be due to restrictions or limitations set by the bank, such as not allowing transfers to certain types of accounts or specific beneficiaries. So, the answer is beneficiary_not_allowed."
The application reverted my top-up.,top_up_reverted,"The input example states that the application reverted the top-up. This means that the top-up transaction was reversed or canceled by the application. This falls under the category of ""top_up_reverted"" because it specifically refers to cases where a top-up transaction is reversed or canceled. So, the answer is top_up_reverted."
There is a suspicious direct debit payment.,direct_debit_payment_not_recognised,"The input example states that there is a suspicious direct debit payment. This indicates that the customer has noticed a transaction made through a direct debit that they do not recognize or find suspicious. 

Based on the given categories, the most appropriate label for this input is ""direct_debit_payment_not_recognised"". This category specifically addresses situations where a customer does not recognize or acknowledge a direct debit payment made from their account.

Therefore, the output ""direct_debit_payment_not_recognised"" is correct for this input example.

So, the answer is direct_debit_payment_not_recognised."
"My card's expiring, what happens now?",card_about_to_expire,"The input example ""My card's expiring, what happens now?"" indicates that the customer is concerned about the expiration of their card. This falls under the category of ""card_about_to_expire"" because the customer is seeking information or assistance regarding the process or consequences of their card expiring. So, the answer is card_about_to_expire."
Why did the ATM machine fail to give me a cash withdrawal?,declined_cash_withdrawal,"The output is correct because the input example mentions a failure in receiving a cash withdrawal from an ATM machine. This falls under the category of ""declined_cash_withdrawal"" as it indicates that the requested cash withdrawal was not successful. So, the answer is declined_cash_withdrawal."
How do I exchange currency?,exchange_via_app,"The output is correct because the customer's query is related to exchanging currency. Specifically, the customer is asking about the process of exchanging currency. This falls under the category of ""exchange_via_app"" because the customer is inquiring about how to exchange currency using the bank's app. So, the answer is exchange_via_app."
There is an unauthorized cash withdrawal from my account for 500£.  I definitely didn't make this withdrawal.  I need your help.,cash_withdrawal_not_recognised,"The output is correct because the customer's complaint is about an unauthorized cash withdrawal from their account. They state that they did not make this withdrawal and need help. This falls under the category of ""cash_withdrawal_not_recognised"" as the customer is disputing a cash withdrawal that they did not authorize. So, the answer is cash_withdrawal_not_recognised."
"My beneficiary has been denied, is this normal?",beneficiary_not_allowed,"The output is correct because the input example mentions that the beneficiary has been denied. This indicates that the customer is facing an issue with adding a beneficiary, which falls under the category of ""beneficiary_not_allowed"". So, the answer is beneficiary_not_allowed."
How do I claim a refund?,request_refund,"The input query ""How do I claim a refund?"" indicates that the customer is seeking information on how to request a refund. This falls under the category of ""request_refund"" as the customer is specifically asking about the process of claiming a refund. So, the answer is request_refund."
My transfer keeps failing and I just want to transfer the money can you please make it work?,failed_transfer,"The output is correct because the customer's complaint is about their transfer failing. They mention that they just want to transfer the money and ask for assistance in making it work. This aligns with the category of ""failed_transfer"" as the customer is experiencing issues with their transfer. So, the answer is failed_transfer."
I have a payment listed in error.,card_payment_not_recognised,"The input ""I have a payment listed in error"" indicates that the customer is experiencing an issue with a payment that has been recorded incorrectly. This falls under the category of ""card_payment_not_recognised"" because the customer does not recognize or acknowledge the payment that has been made. The customer may have been charged for a transaction that they did not authorize or that they do not have any knowledge of. So, the answer is card_payment_not_recognised."
